municipio_ibge;agencias;cod_ibge;postos
2510808;7;251080;4
2511202;2;251120;NA
2511301;1;251130;NA
2511400;3;251140;NA
2511806;1;251180;NA
2512002;1;251200;NA
2512101;4;251210;1
2512309;2;251230;1
2512507;2;251250;1
2512903;1;251290;NA
2513406;2;251340;NA
2513703;6;251370;1
2513901;3;251390;1
2514503;1;251450;NA
2515302;4;251530;1
2515500;1;251550;NA
2516003;3;251600;1
2516102;1;251610;NA
2516201;6;251620;1
2516300;1;251630;2
2516607;1;251660;NA
2516706;1;251670;1
2516904;1;251690;1
2600054;6;260005;NA
2600104;3;260010;1
2600203;1;260020;NA
2600302;1;260030;NA
2600401;1;260040;NA
2600500;1;260050;NA
2600708;1;260070;NA
2600807;1;260080;NA
2601102;6;260110;1
2601201;6;260120;2
2601409;4;260140;NA
2601607;1;260160;NA
2601706;6;260170;1
2601904;5;260190;1
2602001;2;260200;NA
2602100;4;260210;1
2602209;1;260220;NA
2602308;3;260230;NA
2602605;2;260260;NA
2602803;3;260280;NA
2602902;8;260290;NA
2603009;3;260300;NA
2603108;1;260310;NA
2603207;1;260320;NA
2603454;6;260345;1
2603702;1;260370;NA
2604007;5;260400;NA
2604106;16;260410;8
2604205;3;260420;NA
2604502;1;260450;NA
2605004;1;260500;NA
2605103;2;260510;1
2605202;5;260520;NA
2605301;1;260530;1
2605459;2;260545;NA
2605707;3;260570;NA
2605905;1;260590;NA
2606002;8;260600;4
2606200;6;260620;1
2606408;5;260640;4
2606606;1;260660;NA
2606804;5;260680;NA
2607208;7;260720;NA
2607307;1;260730;NA
2607505;1;260750;NA
2607604;1;260760;NA
2607653;2;260765;NA
2607752;1;260775;NA
2607901;20;260790;2
2608107;1;260810;NA
2608503;1;260850;NA
2608750;1;260875;1
2608800;3;260880;NA
2608909;5;260890;1
2609402;3;260940;NA
2609501;2;260950;NA
2609600;9;260960;2
2609709;1;260970;NA
2609907;5;260990;2
2610004;6;261000;1
2610400;1;261040;NA
2610608;3;261060;NA
2610707;7;261070;1
2610905;5;261090;NA
2611002;3;261100;1
2611101;12;261110;7
2611606;142;261160;16
2611804;4;261180;NA
2611903;1;261190;NA
2612208;5;261220;2
2612406;1;261240;NA
2612505;7;261250;2
2612604;3;261260;NA
2613008;3;261300;1
2613107;1;261310;NA
2613503;1;261350;NA
2613602;2;261360;NA
2613701;5;261370;NA
2613909;5;261390;3
2614105;3;261410;1
2614204;1;261420;NA
2614501;5;261450;NA
2614600;1;261460;2
2614808;1;261480;NA
2615003;1;261500;NA
2615300;5;261530;1
2615409;3;261540;NA
2615607;2;261560;NA
2615706;1;261570;1
2616001;1;261600;NA
2616308;1;261630;NA
2616407;7;261640;2
2700102;1;270010;NA
2700300;9;270030;4
2700409;3;270040;NA
2700706;1;270070;NA
2701001;1;270100;NA
2701407;1;270140;NA
2701704;1;270170;NA
2702306;4;270230;1
2702405;4;270240;1
2702900;3;270290;NA
2703106;1;270310;NA
2703809;1;270380;NA
2704302;61;270430;16
2704401;1;270440;NA
2704500;3;270450;NA
2704708;2;270470;NA
2704807;1;270480;NA
2705002;1;270500;NA
2705507;2;270550;NA
2705705;2;270570;NA
2706307;5;270630;2
2706406;1;270640;1
2706703;4;270670;2
2706901;1;270690;NA
2707107;1;270710;NA
2707305;1;270730;NA
2707701;4;270770;NA
2708006;4;270800;1
2708303;1;270830;NA
2708402;2;270840;1
2708501;2;270850;NA
2708600;4;270860;NA
2708808;2;270880;NA
2709103;1;270910;NA
2709152;2;270915;NA
2709301;4;270930;NA
2709400;3;270940;NA
2800209;1;280020;NA
2800308;61;280030;6
2800506;1;280050;NA
2800605;2;280060;NA
2800670;3;280067;NA
2801009;1;280100;NA
2801108;1;280110;NA
2801207;3;280120;NA
2801306;3;280130;NA
2801405;3;280140;NA
2801504;2;280150;NA
2801702;1;280170;NA
2802106;5;280210;NA
2802304;3;280230;NA
2802403;1;280240;NA
2802809;1;280280;NA
2802908;6;280290;1
2803005;4;280300;NA
2803104;1;280310;NA
2803203;2;280320;NA
2803302;2;280330;NA
2803401;1;280340;NA
2803500;5;280350;2
2803609;3;280360;NA
2803906;1;280390;NA
2804003;1;280400;NA
2804409;4;280440;NA
2804458;1;280445;NA
2804508;5;280450;1
2804607;4;280460;NA
2804805;6;280480;NA
2805307;1;280530;NA
2805406;1;280540;NA
2805505;3;280550;1
2805604;1;280560;NA
2805703;5;280570;NA
2805802;1;280580;NA
2805901;1;280590;NA
2806008;2;280600;NA
2806107;1;280610;NA
2806602;1;280660;NA
2806701;3;280670;NA
2807105;5;280710;NA
2807204;1;280720;NA
2807402;5;280740;1
2807600;3;280760;NA
2900207;1;290020;NA
2900306;1;290030;NA
2900702;8;290070;2
2900801;1;290080;1
2901007;3;290100;1
2901106;2;290110;NA
2901205;1;290120;NA
2901304;2;290130;NA
2901403;2;290140;NA
2902104;3;290210;1
2902500;1;290250;1
2902609;1;290260;1
2902708;3;290270;NA
2902807;3;290280;1
2902906;2;290290;1
2903003;1;290300;NA
2903201;13;290320;5
2903409;2;290340;NA
2903508;1;290350;NA
2903904;5;290390;1
2904050;1;290405;NA
2904100;1;290410;NA
2904209;1;290420;NA
2904605;5;290460;1
2904704;1;290470;NA
2904753;1;290475;NA
2904902;2;290490;NA
2905008;2;290500;3
2905206;3;290520;2
2905305;1;290530;NA
2905602;4;290560;1
2905701;12;290570;4
2905800;2;290580;NA
2906006;4;290600;1
2906303;3;290630;NA
2906501;5;290650;1
2906600;1;290660;NA
2906709;2;290670;NA
2906808;2;290680;1
2906873;3;290687;1
2907103;2;290710;NA
2907202;4;290720;1
2907301;2;290730;NA
2907509;4;290750;NA
2907806;4;290780;NA
2907905;1;290790;NA
2908002;2;290800;NA
2908309;1;290830;NA
2908408;4;290840;2
2908507;3;290850;NA
2908606;1;290860;NA
2908705;2;290870;NA
2908903;1;290890;NA
2909109;1;290910;NA
2909307;3;290930;2
2909604;1;290960;NA
2909802;5;290980;1
2909901;1;290990;NA
2910008;1;291000;NA
2910057;5;291005;NA
2910404;1;291040;NA
2910503;3;291050;NA
2910602;3;291060;NA
2910701;4;291070;2
2910727;7;291072;2
2910800;27;291080;6
2911105;3;291110;2
2911204;3;291120;NA
2911709;6;291170;3
2911907;1;291190;NA
2912103;1;291210;NA
2912202;1;291220;1
2912400;1;291240;NA
2912905;1;291290;NA
2913200;4;291320;NA
2913507;2;291350;NA
2913606;8;291360;3
2913705;2;291370;1
2913903;4;291390;NA
2914000;4;291400;1
2914109;1;291410;NA
2914406;1;291440;NA
2914505;3;291450;1
2914604;6;291460;1
2914653;2;291465;1
2914703;4;291470;1
2914802;10;291480;2
2914901;3;291490;NA
2915205;1;291520;NA
2915304;1;291530;NA
2915502;1;291550;1
2915601;4;291560;1
2915809;2;291580;NA
2916005;1;291600;1
2916104;2;291610;NA
2916401;4;291640;2
2916500;1;291650;NA
2916807;1;291680;1
2916856;1;291685;NA
2916906;1;291690;NA
2917003;2;291700;NA
2917201;1;291720;NA
2917300;2;291730;NA
2917508;5;291750;3
2917607;4;291760;1
2917706;2;291770;NA
2918001;7;291800;2
2918100;3;291810;NA
2918407;10;291840;3
2919157;1;291915;NA
2919207;17;291920;5
2919306;1;291930;NA
2919405;1;291940;NA
2919504;3;291950;NA
2919553;9;291955;7
2919702;1;291970;NA
2919801;3;291980;NA
2919926;2;291992;NA
2920007;1;292000;NA
2920106;1;292010;NA
2920304;1;292030;NA
2920502;2;292050;NA
2920601;2;292060;1
2921005;2;292100;NA
2921104;4;292110;1
2921203;2;292120;1
2921500;4;292150;1
2921708;4;292170;NA
2921807;1;292180;NA
2921906;1;292190;NA
2922003;3;292200;2
2922102;3;292210;NA
2922300;2;292230;NA
2922409;1;292240;NA
2922508;3;292250;1
2922607;1;292260;NA
2922706;1;292270;NA
2922904;2;292290;NA
2923001;3;292300;1
2923100;1;292310;NA
2923209;1;292320;1
2923407;2;292340;NA
2923506;1;292350;NA
2923605;3;292360;NA
2923704;1;292370;NA
2923803;1;292380;NA
2924009;8;292400;2
2924207;1;292420;NA
2924306;1;292430;NA
2924405;1;292440;NA
2924603;1;292460;NA
2924801;1;292480;1
2924900;1;292490;NA
2925006;1;292500;NA
2925105;3;292510;1
2925204;2;292520;NA
2925303;8;292530;2
2925402;1;292540;NA
2925501;2;292550;1
2925600;1;292560;NA
2925709;1;292570;NA
2925758;1;292575;NA
